banka,urun_adi_veya_baslik,kar_payi_orani_raw,vade_raw,finansman_tutari_raw,tahsis_ucreti_raw,masraf_bilgisi,odul_miktari_raw,alisveris_puani_raw,indirim_orani_raw,kampanya_baslangic_tarihi,kampanya_bitis_tarihi,urun_ailesi,kampanya_turu,hedef_kitle,kampanya_kosullari,avantajlar,_kaynak_url,_metin_ozeti
Ziraat Katılım,Kredi Notu Nedir? Nasıl Öğrenilir ve Yükseltilir?,,,,,,,,,,,,,,,,https://www.ziraatkatilim.com.tr/blog/kredi-notu-nedir-nasil-ogrenilir-ve-yukseltilir,"06 Mayıs 2026 Kredi Notu Nedir? Nasıl Öğrenilir ve Yükseltilir? Kredi başvurusu yaparken, kredi kartı çıkarırken, hatta bazen ev kiralarken ya da telefon hattı açarken kritik bir eşik vardır: kredi notu. Bankaların ve finans kuruluşlarının size olan bakış açısını doğrudan şekillendiren bu puan, fina"
Ziraat Katılım,MTV (Motorlu Taşıtlar Vergisi) Nedir? MTV Nasıl Ödenir?,,,,,,,,,,,,,,,,https://www.ziraatkatilim.com.tr/blog/mtv-motorlu-tasitlar-vergisi-nedir-mtv-nasil-odenir,"07 Temmuz 2026 2m MTV (Motorlu Taşıtlar Vergisi) Nedir? MTV Nasıl Ödenir? Motorlu Taşıtlar Vergisi (MTV), Türkiye’de belirli motorlu taşıtlar için düzenli olarak tahakkuk eden ve süresi içinde ödenmesi gereken bir vergi türüdür. MTV’yi doğru zamanda ödemek; gecikme maliyetlerinden kaçınmanızı, işlem"
Ziraat Katılım,Satılık Araçlar,,,,,,,,,,,,,,,,https://www.ziraatkatilim.com.tr/satilik-araclar,Satılık Araçlar İhale No : 130 Plaka : 55AER781 Marka / Model : Mercedes-Benz VITO Şehir : İstanbul Fiyat : 1.050.000 TL DETAYLI İNCELE İhale No : 133 Plaka : 06 AR 0542 Marka / Model : Ford Ranger Şehir : İstanbul Fiyat : 2.150.000 TL DETAYLI İNCELE İhale No : 134 Plaka : 34 MZS 228 Marka / Model :
Ziraat Katılım,Tarımsal Finansman Ürünleri,,,%100'e varan devlet destekli (sübvansiyonlu) finansman,,,,,,,,finansman,,,,"Bitkisel, hayvansal ve su ürünleri üretimi için devlet destekli sübvansiyon",https://www.ziraatkatilim.com.tr/tarim/tarimsal-finansman-%C3%BCr%C3%BCnleri,"Tarımsal Finansman Ürünleri Bitkisel Üretim Finansmanı Serada, bahçede, tarlada, kapalı ortamlarda bitkisel üretim faaliyetleriniz için %100’e varan devlet destekli (sübvansiyonlu) finansman imkânları Ziraat Katılım’da. Detaylı Bilgi Hayvansal Üretim Finansmanı Büyükbaş/küçükbaş besi hayvancılığı, s"
Ziraat Katılım,Tarımsal Finansman,,,%100'e varan sübvansiyon oranları,,,,,,,,finansman,,,"Tarımsal mekanizasyon, sulama sistemleri, traktör ve yenilenebilir enerji ekipmanları için; başvuru formu ile",,https://www.ziraatkatilim.com.tr/tarim/tarimsal-finansman-basvurusu,"Tarımsal Finansman Başvurusu Tarımsal Mekanizasyon ve ekipmanları, tarımsal sulama sistemleri, traktör ve tarımsal yenilenebilir enerji bayi ve firmaları; satışlarını yaptığınız ilgili ekipman ve araçların Bankamızca %100'e varan sübvansiyon oranları ile finanse edilmesini istiyorsanız aşağıda yer a"
Ziraat Katılım,Bankkart Ticari,,,,,,,,,,,,,,,,https://www.ziraatkatilim.com.tr/ticari/kartlar/ticari-kredi-karti,"Bankkart Ticari Bankkart Ticari Nedir? Bankkart Ticari, işletmelerin finansal yönetimini kolaylaştıran, karta özel limit tanımlama ve şirket harcamalarını kontrol altında tutma imkânı sağlayan kurumsal kredi kartıdır. Asıl karta bağlı sınırsız sayıda ek kart çıkararak tüm harcamaları tek merkezden y"
Ziraat Katılım,POS Hizmeti,,,1.500.000 TL'ye kadar,,,,,,01.08.2026,31.08.2026,diger,Diğer,,"Yeni üye iş yerleri için geçerli; son 3 ayda POS iptali yapılmamış olmalı; başvurular yalnızca şubeden; POS komisyonu %2,89; özel oran 3 ay boyunca uygulanır",,https://www.ziraatkatilim.com.tr/ticari/uye-isyeri-pos/anlasmalar-ve-kampanyalar/yeni-uye-isyeri-kazanimi-pos-kampanyasi,"Ağustos Ayı Özel! Yeni Üye İş Yeri Kazanım Kampanyası Ağustos Ayı Özel! Yeni Üye İş Yeri Kazanımı POS Kampanyası 1.500.000 TL’ye kadar sadece %2,89 komisyonla POS sahibi olun! 01 - 31 Ağustos 2026 tarihleri arasında şubelerimize başvurun, avantajlardan hemen yararlanın! Kampanya Detayları: Kampanya "
Ziraat Katılım,Katılma Hesabı,,,,,,,,,,,,,,,,https://www.ziraatkatilim.com.tr/ticari/yatirim-urunleri/finans-portali,Finans Portalı Kâr Payı Oranları 1 Ay % 3Ay % 6 Ay % 1 Yıl % 1 Ay % 3Ay % 6 Ay % 1 Yıl % 1 Ay % 3Ay % 6 Ay % 1 Yıl % 23.08.2026 03:51:57 tarihinde vadesi dolan TL/USD/EUR hesaplara dağıtılan yıllık brüt kâr payı oranlarıdır. Bankamız Verileri USD Amerikan Doları Alış Satış EUR Avrupa Para Birimi Alı
Ziraat Katılım,Yatırım Fonları,,,,,,,,,,,,,,,,https://www.ziraatkatilim.com.tr/ticari/yatirim-urunleri/yatirim-fonlari,"Yatırım Fonları Yatırım Fonları Nedir? Yatırım Fonları (Katılım Fonu), yatırımlarını faiz kazancı sağlanmayan para ve sermaye piyasası araçları ile değerlendirmek isteyen yatırımcılar için, portföyünün tamamı, devamlı olarak, kira sertifikaları, katılma hesapları, ortaklık payları, altın ve diğer kı"
Ziraat Katılım,Genel Kurul Toplantıları | Ziraat Katılım,,,,,,,,,,,,,,,,https://www.ziraatkatilim.com.tr/yatirimci-iliskileri/genel-kurul-toplantilari,Genel Kurul Toplantıları 09.04.2026 – 2025 Yılı Genel Kurul Toplantı Tutanağı 02.05.2025 – 2024 Yılı Genel Kurul Toplantı Tutanağı 06.06.2024 – 2023 Yılı Olağan Genel Kurul Toplantı Tutanağı 06.12.2023 – 2023 Yılı 2.Olağanüstü Genel Kurul Toplantı Tutanağı 03.08.2023 – 2022 Yılı Olağan Genel Kurul T
Ziraat Katılım,Kira Sertifikası,,,,,,,,,,,,,,,,https://www.ziraatkatilim.com.tr/yatirimci-iliskileri/kira-sertifikasi-ihraclarimiz,"Kira Sertifikası İhraçlarımız 15.000.000.000 TL Tutarına Kadar 1. Kira Sertifikası İhraç Tavanı Ziraat Katılım Bankası A.Ş.'nin fon kullanıcısı/kaynak kuruluş olarak yer alacağı, ihraççı Ziraat Katılım Varlık Kiralama A.Ş. tarafından 15.000.000.000 TL izahname kapsamında, tertipler halinde, çeşitli "
Ziraat Katılım,Zamanaşımına Uğrayacak Olan Hesaplar Hakkında | Ziraat Katılım,,,,,,,,,,,,,,,,https://www.ziraatkatilim.com.tr/zamanasimina-ugrayacak-hesaplar,"Zamanaşımına Uğrayacak Olan Hesaplar Hakkında 5411 sayılı Bankacılık Kanunu’nun 62. maddesine göre, Bankalar nezdindeki mevduat, katılım fonu, emanet ve alacaklardan hak sahibinin en son talebi, işlemi, herhangi bir yazılı talimatı tarihinden itibaren 10 yıl içinde aranmayanlar zamanaşımına tabidir."
Vakıf Katılım,TROY Kredi Kartı,,,,,,,,,02.01.2026,31.12.2026,kart,Kart Kampanyası,,2.000 TL - 700.000 TL arası eğitim harcamaları için geçerlidir; ödemeler bireysel Vakıf Katılım TROY Kredi Kartı ile yapılmalıdır,Eğitim harcamalarında vade farksız 5 taksit,https://www.vakifkatilim.com.tr/tr/kendim-icin/kampanyalar/detay/troyla-egitimde-vade-farksiz-5-taksit,Müşteri Ol Kendim İçin SİZE ÖZEL ÇÖZÜMLER ÜRÜN VE HİZMETLERİMİZ İşim İçin SİZE ÖZEL ÇÖZÜMLER ÜRÜN VE HİZMETLERİMİZ Hakkımızda Ana Sayfa Kendim İçin Kampanyalar TROY’la Eğitimde Vade Farksız 5 Taksit Kampanya Geçerlilik Tarihi 02 Ocak 2026 - 31 Aralık 2026 Kampanya Detayları 31 Aralık 2026 tarihine k
